id,categoryname,title,partno,size,price,code,weight
1,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-001,1-Aug,53.2,POA,0.58
2,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-002,1-Apr,80.73,POA,0.96
3,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-003,3-Aug,110.16,POA,1.32
4,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-005,1-Feb,40.09,A,1.94
5,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-007,3-Apr,52.92,A,2.64
6,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-010,1,79.39,A,3.7
7,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-012,1/01/2004,110,A,5.28
8,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-015,1/01/2002,124.43,A,6.36
9,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-020,2,172.41,A,8.94
10,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-025,2/01/2002,289.36,A,14.36
11,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-030,3,354.85,A,17.76
12,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-040,4,511.22,A,25.82
13,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-050,5,0,POA,37.02
14,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-060,6,985,A,50.94
15,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-080,8,1481.52,A,44.38
16,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-100,10,2352.24,B,112.1
17,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-120,12,3234.33,B,157.84
18,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-140,14,4189.93,B,189.34
19,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-160,16,5962.27,B,243.44
20,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-180,18,9188.44,POA,304.58
21,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-200,20,11826.54,POA,372.7
22,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-240,24,16759.71,POA,528.76
23,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-001C,1-Aug,113.13,POA,0.94
24,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-002C,1-Apr,130.41,POA,1.06
25,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-003C,3-Aug,177.66,POA,1.48
26,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-005C,1-Feb,107.08,A,2.04
27,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-007C,3-Apr,145.81,A,2.76
28,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-010C,1,215.11,A,4.08
29,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-012C,1/01/2004,296.03,A,5.6
30,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-015C,1/01/2002,359.01,A,6.82
31,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-020C,2,497.57,A,9.44
32,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-025C,2/01/2002,758.73,A,14.36
33,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-030C,3,1016.96,A,19.26
34,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-040C,4,1486.44,A,28.16
35,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-050C,5,0,POA,53.78
36,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-060C,6,2892.93,B,53.78
37,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-080C,8,4797.51,POA,82.1
38,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-100C,10,8701.11,POA,118.2
39,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-120C,12,11960.85,POA,166.62
40,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-140C,14,15237.99,POA,211.2
41,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-160C,16,19596.6,POA,271.42
42,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-180C,18,24672.87,POA,321.62
43,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-200C,20,31077.27,POA,416.58
44,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-240C,24,44093.16,POA,589.3
45,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-002,1-Apr,14.46,C,0.02
46,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-003,3-Aug,13.84,C,0.03
47,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-005,1-Feb,13.84,A,0.05
48,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-007,3-Apr,14.5,A,0.07
49,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-010,1,18.14,A,0.12
50,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-012,1/01/2004,49.84,A,0.17
51,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-015,1/01/2002,49.84,A,0.24
52,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-020,2,62.32,A,0.36
53,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-025,2/01/2002,67.77,A,0.72
54,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-030,3,84.7,A,0.98
55,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-040,4,98.13,A,1.6
56,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-050,5,250.28,C,2.63
57,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-060,6,335.1,A,5.11
58,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-080,8,777.2,A,9.55
59,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-100,10,2567.73,B,17.2
60,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-120,12,3791.18,POA,24.72
61,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-140F,14,4026.32,POA,43.39
62,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-160F,16,5235.42,POA,65.77
63,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-002C,1-Apr,19.12,C,0.02
64,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-003C,3-Aug,19.12,C,0.03
65,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-005C,1-Feb,19.12,A,0.05
66,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-007C,3-Apr,19.45,A,0.08
67,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-010C,1,23.84,A,0.13
68,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-012C,1/01/2004,50.29,A,0.18
69,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-015C,1/01/2002,57.6,A,0.24
70,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-020C,2,64.11,A,0.37
71,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-025C,2/01/2002,163.23,A,0.74
72,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-030C,3,163.23,A,1.11
73,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-040C,4,217.23,A,1.69
74,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-050C,5,537,C,2.88
75,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-060C,6,565.3,A,5.53
76,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-080C,8,1619.3,A,9.78
77,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-100C,10,3568.33,POA,18.39
78,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-120C,12,4950.87,POA,28.15
79,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-005SR,1-Feb,11.96,A,0.06
80,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-007SR,3-Apr,17.7,B,0.07
81,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-010SR,1,20.78,B,0.12
82,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-012SR,1/01/2004,24.72,B,0.17
83,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-015SR,1/01/2002,26.12,B,0.23
84,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-020SR,2,51.11,B,0.36
85,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-030SR,3,110.47,C,1.06
86,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SOC X SR FIPT,802-040SR,4,207.17,C,1.54
87,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-005CSR,1-Feb,26.55,B,0.07
88,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-007CSR,3-Apr,38.81,B,0.11
89,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-010CSR,1,48.83,B,0.13
90,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-012CSR,1/01/2004,56.65,B,0.17
91,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-015CSR,1/01/2002,56.65,B,0.24
92,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-020CSR,2,92.6,B,0.38
93,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-030CSR,3,133.35,B,1.11
94,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SOC X SR FIPT,802-040CSR,4,251.22,B,1.62
95,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SR FIPT X SR FIPT,805-005SR,1-Feb,15.03,B,0.06
96,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SR FIPT X SR FIPT,805-007SR,3-Apr,16.51,B,0.07
97,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SR FIPT X SR FIPT,805-010SR,1,39.26,B,0.14
98,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SR FIPT X SR FIPT,805-015SR,1/01/2002,45.95,B,0.3
99,Threaded Tee ,REINFORCED TEE SCH80 GREY UPVC SR FIPT X SR FIPT,805-020SR,2,48.3,B,0.53
100,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SR FIPT X SR FIPT,805-005CSR,1-Feb,31.79,B,0.06
101,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SR FIPT X SR FIPT,805-007CSR,3-Apr,36.42,B,0.07
102,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SR FIPT X SR FIPT,805-010CSR,1,54.39,B,0.15
103,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SR FIPT X SR FIPT,805-015CSR,1/01/2002,57.75,B,0.32
104,Threaded Tee ,REINFORCED TEE SCH80 GREY CPVC SR FIPT X SR FIPT,805-020CSR,2,68.77,B,0.57
105,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-101,3/4X1/2,10.6,A,0.06
106,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-130,1X1/2,15.34,A,0.09
107,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-131,1X3/4,15.34,A,0.1
108,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-157,1-1/4X1X3/4,26.45,B,0.14
109,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-158,1-1/4X1X1,26.45,B,0.15
110,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-159,1-1/4X1X1-1/4,26.45,B,0.18
111,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-166,1-1/4X1/2,42.28,A,0.18
112,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-167,1-1/4X3/4,33.28,A,0.13
113,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-168,1-1/4X1,33.28,A,0.16
114,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-202,1-1/2X1-1/4X1,33.28,A,0.18
115,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-209,1-1/2X1/2,33.28,A,0.15
116,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-210,1-1/2X3/4,33.28,A,0.17
117,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-211,1-1/2X1,33.28,A,0.19
118,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-212,1-1/2X1-1/4,33.28,A,0.24
119,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-247,2X1/2,42.17,A,0.2
120,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-248,2X3/4,42.17,A,0.24
121,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-249,2X1,42.17,A,0.25
122,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-250,2X1-1/4,64.27,A,0.38
123,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-251,2X1-1/2,64.27,A,0.35
124,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-287,2-1/2X1/2,64.27,A,0.34
125,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-288,2-1/2X3/4,67.39,B,0.37
126,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-289,2-1/2X1,57.51,B,0.45
127,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-290,2-1/2X1-1/4,57.51,B,0.5
128,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-291,2-1/2X1-1/2,57.51,B,0.55
129,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-292,2-1/2X2,57.51,B,0.58
130,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-333,3X1/2,80.8,B,0.86
131,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-334,3X3/4,91.19,B,0.85
132,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-335,3X1,77.29,A,0.56
133,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-336,3X1-1/4,80.8,B,0.84
134,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-337,3X1-1/2,80.8,B,0.63
135,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-338,3X2,77.29,A,0.75
136,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-339,3X2-1/2,80.8,B,0.87
137,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-416,4X3/4,159.83,B,1.16
138,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-417,4X1,152.87,A,1.16
139,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-418,4X1-1/4,159.83,B,0.95
140,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-419,4X1-1/2,159.83,B,0.92
141,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-420,4X2,152.87,A,1.06
142,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-421,4X2-1/2,235.08,B,1.54
143,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-422,4X3,224.86,A,1.37
144,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-426,4X6,484.72,C,7.54
145,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-482,5X1-1/4,517.78,C,3.9
146,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-484,5X1-1/2,564.46,C,3.88
147,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-486,5X2,491.14,C,3.69
148,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-487,5X2-1/2,571.36,C,3.69
149,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-488,5X3,491.14,C,3.61
150,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-490,5X4,389.58,C,3.23
151,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-523,6X1/2,339.61,C,2.39
152,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-526,6X1-1/4,339.61,C,2.38
153,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-527,6X1-1/2,339.61,C,2.35
154,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-528,6X2,249.57,A,2.29
155,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-529,6X2-1/2,339.32,C,3.05
156,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-530,6X3,249.57,A,2.88
157,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-532,6X4,335.1,A,3.37
158,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-573,8X1/2,997.02,B,8.57
159,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-575,8X1,997.61,B,8.57
160,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-578,8X2,948.6,B,8.46
161,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-579,8X2-1/2,1043.73,B,8.61
162,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-580,8X3,948.6,B,8.35
163,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-582,8X4,907.36,A,5.23
164,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-585,8X6,777.2,A,7.16
165,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-623,10X3,2501.12,POA,11.96
166,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-624,10X4,2392.38,A,11.88
167,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-626,10X6,2362.32,POA,10.67
168,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-628,10X8,2659.27,POA,19.85
169,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-664,12X4,4534.6,POA,20.52
170,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-666,12X6,4278.28,POA,20.44
171,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-668,12X8,3361.65,A,18.16
172,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-670,12X10,4706.32,POA,30.42
173,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-694F,14X4,0,POA,22.48
174,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-696F,14X6,0,POA,25.58
175,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-698F,14X8,0,POA,28.52
176,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-700F,14X10,0,POA,32.07
177,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-702F,14X12,0,POA,35.93
178,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-756F,16X6,0,POA,35.28
179,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-760F,16X10,0,POA,42.49
180,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-762F,16X12,0,POA,46.91
181,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-764F,16X14,0,POA,51.85
182,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-786F,18X6,0,POA,46.27
183,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-788F,18X8,0,POA,50.12
184,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-790F,18X10,0,POA,54.46
185,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-792F,18X12,0,POA,59.37
186,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-794F,18X14,0,POA,64.8
187,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-796F,18X16,0,POA,71.16
188,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-818F,20X8,0,POA,72.29
189,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-820F,20X10,0,POA,79.53
190,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-822F,20X12,0,POA,77.64
191,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-824F,20X14,0,POA,83.06
192,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-826F,20X16,0,POA,90.99
193,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-828F,20X18,0,POA,99.14
194,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-910F,24X10,0,POA,112.8
195,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-912F,24X12,0,POA,122.58
196,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-914F,24X14,0,POA,134.84
197,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-916F,24X16,0,POA,135.2
198,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-918F,24X18,0,POA,137.93
199,Reducing Tee,REDUCING TEE SCH80 GREY UPVC SOC,801-920F,24X20,0,POA,152.91
200,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-101C,3/4X1/2,42.65,A,0.06
201,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-130C,1X1/2,49.15,A,0.09
202,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-131C,1X3/4,49.15,A,0.11
203,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-158C,1-1/4X1X1,60.97,B,0.14
204,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-159C,1-1/4X1X1-1/4,60.97,B,0.18
205,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-166C,1-1/4X1/2,112.71,B,0.19
206,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-167C,1-1/4X3/4,96.19,B,0.13
207,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-168C,1-1/4X1,96.19,A,0.16
208,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-202C,1-1/2X1-1/4X1,96.19,B,0.19
209,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-209C,1-1/2X1/2,100.47,B,0.16
210,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-210C,1-1/2X3/4,100.47,A,0.17
211,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-211C,1-1/2X1,100.47,A,0.19
212,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-212C,1-1/2X1-1/4,100.47,B,0.26
213,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-247C,2X1/2,119.68,A,0.2
214,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-248C,2X3/4,119.68,A,0.23
215,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-249C,2X1,119.68,A,0.26
216,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-250C,2X1-1/4,165.82,B,0.29
217,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-251C,2X1-1/2,119.68,A,0.36
218,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-287C,2-1/2X1/2,137.43,B,0.35
219,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-288C,2-1/2X3/4,137.43,B,0.37
220,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-289C,2-1/2X1,137.43,B,0.47
221,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-290C,2-1/2X1-1/4,137.43,B,0.52
222,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-291C,2-1/2X1-1/2,137.43,B,0.56
223,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-292C,2-1/2X2,142.25,B,0.61
224,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-333C,3X1/2,302.51,B,0.94
225,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-334C,3X3/4,302.51,B,0.93
226,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-335C,3X3X1,244.19,B,0.6
227,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-336C,3X1-1/4,292.88,B,0.9
228,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-337C,3X3X1-1/2,244.19,B,0.65
229,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-338C,3X2,244.19,A,0.8
230,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-339C,3X2-1/2,244.19,B,0.95
231,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-415C,4X1/2,371.36,B,1.23
232,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-416C,4X3/4,371.36,B,1.22
233,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-417C,4X1,371.36,B,1.21
234,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-418C,4X1-1/4,371.36,B,1.03
235,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-419C,4X1-1/2,371.36,B,1
236,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-420C,4X2,308.64,A,1.09
237,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-421C,4X2-1/2,415.31,B,1.58
238,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-422C,4X3,308.64,A,1.39
239,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-426C,4X6,1069.9,C,8.17
240,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-484C,5X1-1/2,798.66,C,4.32
241,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-486C,5X2,897.09,C,4.01
242,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-488C,5X3,891.54,C,3.9
243,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-490C,5X4,790.94,C,3.51
244,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-525C,6X1,1061.59,C,2.01
245,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-526C,6X1-1/4,1061.59,C,2.44
246,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-527C,6X1-1/2,1061.59,C,2.41
247,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-528C,6X2,986.34,C,2.34
248,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-529C,6X2-1/2,1088.91,C,4.34
249,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-530C,6X3,986.34,C,3.71
250,Reducing Tee,REDUCING TEE SCH80 GREY CPVC SOC,801-532C,6X4,871.68,A,3.76
